香港澳门,#genre#
LSTime电影台,http://pili-live-hdl.qhmywl.com/dsdtv/a5da9875c963d704ac5dd8f866869723.flv
卫视电影台,mitv://198.255.74.87:9906/5dc08f110000c02301b7cc183ad4b85d.ts#p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts#http://pili-live-hdl.qhmywl.com/dsdtv/4499fb1dcef8c7a9f64276bf71bfc5b4.flv
纬来电影台,mitv://198.255.74.87:9906/5dc08f26000d3e6601b82153716d51e1.ts#p2p://170.178.164.250:6141/5b448afc0007f4650004373eda7b4dd8.ts#http://pili-live-hdl.qhmywl.com/dsdtv/4f10b67646969a422a5490deaaabbc69.flv
FOX电影,vjms://58.215.133.185:8500:3502/live/cid=94#http://pili-live-hdl.qhmywl.com/dsdtv/b3d2208824d1ca27dad3068e376ab557.flv#mitv://198.255.74.87:9906/5dc08f0d0002935401b7bcf0e205eaa4.ts#vjms://23.237.33.155:8500:3502/live/cid=94
FOX家庭电影,mitv://198.255.74.87:9906/5dc08f0d0000e31001b7bc81e4cbc08b.ts#http://pili-live-hdl.qhmywl.com/dsdtv/440b3d3c474813d7ead7d3a795978e69.flv
FOX动作电影 HD,mitv://198.255.74.87:9906/5dc08f0d0001bd0201b7bcb97d30ebcb.ts
好莱坞电影,http://pili-live-hdl.qhmywl.com/dsdtv/8e678565884cdebd00f8b3121b3b7ee1.flv
ELTA影剧,mitv://198.255.74.87:9906/5dc08f1800025c2e01b7e7da7df39b79.ts#http://pili-live-hdl.qhmywl.com/dsdtv/0916fef64c4baab95f7097d001e4c27e.flv
龙华影剧,mitv://198.255.74.87:9906/5dc08f230003b10001b813293bd32673.ts#http://pili-live-hdl.qhmywl.com/dsdtv/d2e1d697b31906f91d7e19a5f06f64ed.flv
采昌影剧,mitv://198.255.74.87:9906/5dc08f17000de43001b7e6e537f198a5.ts#p2p://fccsovh.pvbox.live:18912/5b1409db0009049a17d41d161677386d#http://pili-live-hdl.qhmywl.com/dsdtv/b93ac92b703885f3cfe39bad8aa689d1.flv
龙华偶像,mitv://198.255.74.87:9906/5dc08f230002c50f01b812ed25702777.ts#http://pili-live-hdl.qhmywl.com/dsdtv/046d62141df9366aa54a66b22e095e24.flv
TVB星河,mitv://198.255.74.87:9906/5dc08f2a000c358f01b830afaa89e001.ts#p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts
華藝影剧台,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts#http://pili-live-hdl.qhmywl.com/dsdtv/49d33b7521ceef2115572e8906e9f906.flv
三立戏剧台,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
纬来戏剧,vjms://58.215.133.185:8500:3502/live/cid=137#mitv://198.255.74.87:9906/5dc08f26000b5af101b820d79801275b.ts#vjms://23.237.33.155:8500:3502/live/cid=137
八大戏剧,mitv://198.255.74.87:9906/5dc08f1f00038bfa01b80380693eb7f3.ts#vjms://23.237.33.155:8500:3502/live/cid=110#http://pili-live-hdl.qhmywl.com/dsdtv/6d7d7a9c22ba9aa4e411e3f7567763d8.flv
EYETV戏剧台,mitv://198.255.74.87:9906/5dc08f1b0008585301b7f51a726f4829.ts#p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy#https://116.77.72.195/streams/d/fhdy/playlist.m3u8
CHC家庭电影,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226699/10000100000000060000000001972393_0.smil
CHC动作电影,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226691/10000100000000060000000001972392_0.smil
CHC高清电影,rtsp://61.156.103.73:554/PLTV/88888888/224/3221226688/10000100000000060000000001972391_0.smil
MyCinemaEurope,http://pili-live-hdl.qhmywl.com/dsdtv/2d2f46a778c93f01b614213456fc97fc.flv
WarnerTV,mitv://198.255.74.87:9906/5dc08f020003327101b7922132df84c4.ts#http://pili-live-hdl.qhmywl.com/dsdtv/a645bdeafb1216c23352144c3505bd8c.flv
AXN,vjms://58.215.133.185:8500:3502/live/cid=2#http://pili-live-hdl.qhmywl.com/dsdtv/c762110b3eef8bcccce5863643dd66aa.flv#mitv://198.255.74.87:9906/5dc08efe000c72ce01b784df27914703.ts#vjms://23.237.33.155:8500:3502/live/cid=2
CINEMAX,mitv://198.255.74.87:9906/5dc08f0c000d7d5501b7bbd3536df5c6.ts#http://pili-live-hdl.qhmywl.com/dsdtv/9bece52b2f72795cc2f588f3d9e4eed3.flv
CinemaWorld,mitv://198.255.74.87:9906/5dc08f10000960c801b7ca669ad1a62d.ts#http://pili-live-hdl.qhmywl.com/dsdtv/357252de83720e30d40c00bfba69c497.flv
FOX CRIME,mitv://198.255.74.87:9906/5dc08f0c000f26df01b7bc4033c0db54.ts
CatchPlay电影,mitv://198.255.74.87:9906/5dc08f0200009eff01b791787b4828f5.ts#http://pili-live-hdl.qhmywl.com/dsdtv/65e80e1e0cd763a0302d7aa2a1135b0b.flv
FX,mitv://198.255.74.87:9906/5dc08f0d00036abb01b7bd27df32bfaf.ts#p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
BLUEANT,p8p://0198.02686.cc:16871/5d1a69a60004767211bda6b5be685208.ts
靖天戏剧,mitv://198.255.74.87:9906/5dc08f1c000237d601b7f770415b97fe.ts#p2p://fccsovh.pvbox.live:18912/5b14093e000c1de917d1b89a306502e9
天映经典,p2p://fccsovh.pvbox.live:18912/5b3c4f9b00031383627eef60721e1738
天映频道,mitv://198.255.74.87:9906/5dc08f10000b0c4f01b7cad355c99671.ts
龙华戏剧,http://vip.xp3.biz/HK.php?id=13#mitv://198.255.74.87:9906/5dc08f230001dd4c01b812b1e9915397.ts
靖天映画,mitv://198.255.74.87:9906/5dc08f1b000edd1601b7f6c5b10ac892.ts
靖洋戏剧,mitv://198.255.74.87:9906/5dc08f1b000b184201b7f5ce694c5242.ts
东森戏剧,mitv://198.255.74.87:9906/5dc08f230008cd1f01b814780a22e445.ts
龙华日韩,http://vip.xp3.biz/HK.php?id=14

